,videoId,title,viewCount,likeCount,dislikeCount,date,Query
105,VXuJEvWKEjY,"Bitcoin $3,000, Hold Your BCash & The Return of Ethereum",1441,21,4,2017-08,Bcash
106,klN1B9dLrIU,Today in Bitcoin (2017-08-06) - Don’t call Bcash Bcash - Crypto Castle - Spoofy & Streisand Effect,8506,573,11,2017-08,Bcash
107,CeaKqRKbAkU,"A tale of two Bitcoin crypto-dividends- The Bcash pump worked on many levels, Bgold patience",2549,190,19,2017-11,Bcash
108,EZnwg3omao0,The 1 Bitcoin Show- Simon Dixon talks about the Bcash pump,8165,567,34,2017-11,Bcash
109,vrk8QczDJds,Tutorial Bcash,3981,15,1,2013-10,Bcash
110,p9jmYqshN7k,What if I Spoke One on One With Roger Ver on BCASH?,1061,52,13,2017-11,Bcash
111,pN8quE5exqM,Bitcoin Segwit on August 8! What I am doing with my Bcash now. Who won't sell BCH?,3064,207,37,2017-08,Bcash
112,ntxiXqXiYbA,"The Bitcoin Group #165 - Square Cash, BCash, Bitcoin $8000 and the Wizard",15847,1160,41,2017-11,Bcash
113,ZQQXQHW8QGU,bcash é seguro,1665,7,0,2015-11,Bcash
114,6z2QMgOs7yg,"Segwit Lock-in, Bcash and the Future of Bitcoin - Interview with Francis Pouliot",4078,151,20,2017-07,Bcash
115,CZl-1CljYb0,Crypto-Community's take on #BCASH,246,16,2,2017-11,Bcash
116,e9JB7gRMyDs,Today in Bitcoin (2017-08-03) - WannaCry Cashes Out - Bcash Falls,9864,754,33,2017-08,Bcash
117,jxebzAC0dT4,"Bitcoin doesn't die AGAIN! Bcash is a great name for FUDcoin, Litecoin is digital cash",3375,172,30,2017-08,Bcash
118,_4H2r4PLc1g,BITCOIN vs. Bitcoin CASH - BCASH der wahre neue Bitcoin? Der blutige Bruderkrieg 😡,3408,135,11,2017-11,Bcash
119,gcivlVnuQsI,"Bitcoin News #47 - Digital Gold, Bcash",11551,731,49,2017-08,Bcash
120,RpdcVQwg5L0,Bcash Greece Inc - Greek Bitcoin ATM - Sell GR,2111,5,2,2016-08,Bcash
121,cdZBauoXmF0,HUGE Announcement! | BCash | Litecoin,12248,222,67,2017-08,Bcash
122,DqIDiOh6r6Y,Paypal [Pagseguro Mercadopago e Bcash] Qual o Melhor?,7346,NaN,NaN,2015-05,Bcash
123,1YUMFK2H6uE,My Thoughts On Bcash.,94,20,1,2017-08,Bcash
124,IVzfH9WpcRg,Como Configurar Uma Conta na BCash,771,10,0,2016-01,Bcash
125,UcJu-ib0I5A,"This week in Bitcoin- 11-10-2017- BTC drop, Bcash pump, 2x death, Bgold birth, Ethereum",2992,220,24,2017-11,Bcash
126,3jVsdEZqdhA,Watch Jihan Wu getting triggered when someone calls his coin Bcash,1190,38,6,2017-11,Bcash
127,QNenIaMH36E,BCASH PayU fraude em Lojistas e Clientes No Brasil - COMPARTILHE,2746,40,3,2016-01,Bcash
128,bSlpgOaSSgw,BITCOIN CASH (BCASH) IS GREAT FOR CRYPTO!,4225,148,18,2017-08,Bcash
129,3qem_dzr_GA,"Bitcoin Tonight- Why it's important to understand the Bcash pump, Altcoin forks, BTC conviction!",2226,143,10,2017-10,Bcash
130,gXsjcBCfNQs,What is Bitcoin Cash (Bcash) and Where is it Going?,188,9,0,2017-08,Bcash
131,7HYkWvGbV0c,Preparing Trezor for Bcash | Updating Firmware to 1.5.1,2008,17,7,2017-08,Bcash
132,9OVcKuMjZEA,Segwit2X - Delayed or Postponed? Bitcoin.com Goes BCash? - Peter Responds,2900,254,10,2017-11,Bcash
133,zCp0NvQlFhc,Today in Bitcoin News Podcast (2017-10-31) - Bcash Hard Fork - Iran Bitcoin - 21 Tokenizes,7117,320,23,2017-10,Bcash
134,o51sMOndQvc,Tone's MA #79 - BCash Fall is Bitcoin's Gain,8181,410,22,2017-08,Bcash
135,6fK4Nf2Pe1o,"Novidades, Segwit, Bcash e S2X",8283,1109,7,2017-08,Bcash
136,Fb2jleKT32g,Today in Bitcoin (2017-08-04) - Bcash down 62% - Coinbase to support in 2018,8135,712,30,2017-08,Bcash
137,3GwdbLz1ndI,Bitcoin Cash (BCC/BCH) BCash August 1st Hardfork vs. Bitcoin BTC,2693,56,7,2017-08,Bcash
138,M86oASg_sZk,"CNBC Just Opened The Flood Gates - AdEx Technical Analysis, Bcash, Being A Terminator - CMTV Ep27",24887,749,29,2017-08,Bcash
139,rhu4c8sL0AE,"Bitfinex CSO Phil Potter (PGP) discusses Bcash / Bitcoin Cash, Hack Audit, Spoofing, and EthFinex",2346,40,4,2017-08,Bcash
140,NXP2TzjODqY,The Bitcoin Group #153 - BCash Launches - BTC-E Claims - Cloning Bitcoin - The Future,11134,701,25,2017-08,Bcash
141,cbDO15xXpFk,The BCash Short -  John Carvalho Meets BCash Manager Roger Ver,154,6,0,2017-11,Bcash
142,50tJWFE_HvA,"Bitcoin All-Time-High $3500!, New Bcash Market (BCH), Segwit Locked in!",2942,125,1,2017-08,Bcash
143,73xNBMy7V4M,How To Claim and Sell your Bitcoin Cash BCC/BCASH/BCH Quickly!!!,5813,76,11,2017-08,Bcash
144,t3TFmht91MY,Bitcoin Cash (BCash) #BCH - What's it Worth? - Crypto update for 08-03-17,524,6,1,2017-08,Bcash
145,F_LDsdBuuRA,"Como Criar Uma Conta No Bcash, Paypal e Ativar o HotPay",1060,21,0,2016-04,Bcash
146,XdndP85OiiA,Roger Ver Explains the BCash and Segwit2x Forks!,35830,292,217,2017-07,Bcash
147,GQAepNUCdQU,Living in /r/bcash? Take the RED PILL,1328,71,13,2017-08,Bcash
148,y6ETvcDmp5E,"4h Follow-Through: BTC, ETH, Bcash, LTC, XRP Ep. 23",2501,136,6,2017-10,Bcash
149,gdwOlVWXuTM,Be careful MyBTGWallet.com Scam! / Bitcoin.com forcing BCash,2206,109,0,2017-11,Bcash
150,AGNL4pUXgsc,Top 5 Altcoins to Hold For the Next 5 Years! Long Term Altcoin Picks!,120538,963,105,2017-07,Altcoin
151,CsibPC1QCg4,"Altcoin News - A Sea of Red in Crypto, Coinbase Down, Peercoin, XRP, Lykke Card",4071,178,2,2017-11,Altcoin
152,OdC1MBbvsdU,Top 5 Altcoin Coins for December! Which coins will run? | NAC3 Conference,9553,275,22,2017-11,Altcoin
153,djleNHTjy4Y,Altcoin Opportunity While All Eyes Are On Bitcoin,50458,2134,66,2017-11,Altcoin
154,MTqNnK33XOU,Altcoin's to Watch Right Now,1712,19,5,2017-10,Altcoin
155,zZ-KTx2ty18,My 2 Best Altcoin Trading Strategies,385768,4836,171,2017-04,Altcoin
156,GbZm3Vyp0qw,ALTCOIN PRICES FALLING? IS IT TIME TO INVEST?!?!?,1271,51,0,2017-11,Altcoin
157,uw5sKVRAPP0,"Altcoin News - Elon Musk is Bitcoin Satoshi? Bitconnect Ponzi BCC, Cardano ADA, Substratum ATH",3647,81,5,2017-11,Altcoin
158,u94kP2Qi7L4,"Altcoins Are Heating Up! Stellar Lumens, Zcoin, CME Futures, Novogratz, Strategies - CMTV Ep85",24205,769,32,2017-11,Altcoin
159,2GD_VRUj0A4,MOST OVERSOLD ALTCOIN!!! (TIME TO BUY!?),8488,149,10,2017-11,Altcoin
160,IbD0Rc_9OWg,URGENT 8X PROFIT ALTCOIN TIP + BITCOIN INVESTING BASICS TUTORIAL,261,NaN,NaN,2017-11,Altcoin
161,qiJC5v1eaHc,15 Coin to invest Now!  15 Altcoin  जिसमे  आप  अभी  Invest  कर  सकते  हो ! By Global Rashid in Hindi,7359,686,17,2017-11,Altcoin
162,GwExCl6Zugs,Bitcoin ($6600) vs Altcoin: Where to Invest? | New Investors With Limited Funds,1040,42,3,2017-11,Altcoin
163,ISm4RdLkKvQ,Ethereum Leads Altcoin Bull Market Rally into December,2391,63,2,2017-11,Altcoin
164,Asg1cBAp2tE,Cryptocurrency investing fundamentals - Top 5 Altcoins to buy under $1,242984,3250,212,2017-08,Altcoin
165,Peh3MF_DMss,WHAT ALTCOIN WILL DOUBLE IN PRICE NEXT?,899,70,2,2017-11,Altcoin
166,aiK58cXVZx4,Não Compre na Máxima Histórica Bitcoin ou Altcoin! Comprou? Seja Paciente!,1110,187,2,2017-11,Altcoin
167,xYT7lcS6dak,Buy Undervalued Altcoins  Before 2018?,5467,125,6,2017-11,Altcoin
168,iHCBkN-dJTc,My Top 2 Altcoin Trading Strategies for 2018,13134,466,18,2017-11,Altcoin
169,YhnsbSW_4OI,Top 5 Altcoins To Buy In November 💰 Altcoin Investing Fundamentals,33009,494,38,2017-08,Altcoin
170,GozIgNZn0jM,#1 ALTCOIN I'm buying in the bloodbath,7707,162,7,2017-11,Altcoin
171,lcv6IjMpabI,"Bitcoin Cruises Up, While Altcoins BLEED Out",8359,285,10,2017-10,Altcoin
172,W1A695Aah2g,1000 TL İle Altcoin Borsasına Giriyoruz!,38065,445,21,2017-06,Altcoin
173,EzY5_ZEJS6E,"Altcoin News - IOTA & Microsoft, Ubiq wins award, TenX & Ripple XRP on Huobi Pro",2933,71,0,2017-11,Altcoin
174,0eiwhM31ttI,"Segwit2x Aftermath - Scalping Profits, Altcoin Strategies, BTC Moves, Dollar Cost Avg - CMTV Ep82",18775,694,27,2017-11,Altcoin
175,bny9f_XFyz4,"TOP 10 Altcoins Post Bitcoin Fork (HUGE BOUNCE, DON'T MISS IT!)",16497,182,13,2017-11,Altcoin
176,RhHrfAMs7_g,"ALTCOIN LOSS RECOVERY Strategy, Bitcoin Margin Trading, etc",6662,NaN,NaN,2017-11,Altcoin
177,_ssClw8hLFg,The Rise of the Altcoin Market / Genesis Mining #EvolveWithUs - The Series Episode 3,2709,151,4,2017-11,Altcoin
178,0mo_LjBvRDg,Altcoins Due For Bull Run in 2018!?,18507,535,16,2017-11,Altcoin
179,r-yEvROhttg,"Altcoin News - Litecoin LTC,  Bitmain competition, Confido returns, Crypto Trojan & Bitcoin Gold BTG",1449,46,0,2017-11,Altcoin
180,19rG2rHsrQQ,Return of the Alt Coins | Alt Coin Hunting,20932,1034,32,2017-11,Altcoin
181,4OC3ikQF-cc,"Best ALTCOIN to HOLD for 2018? Wabi, Hot Crypto , Substratum, Vertcoin",1306,21,3,2017-11,Altcoin
182,lYJ-nTs_e7k,Top 5 Altcoins To Hold For the REST of 2017! Top 5 Altcoin Picks For 2017!,10540,159,6,2017-09,Altcoin
